season,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,spread,formatted_spread,spread_open,over_under,
2017.0,Iowa,ACC,27.0,Boston College,Big Ten,20.0,1,2.5,Iowa,,46.0,
2017.0,Georgia State,Sun Belt,27.0,Western Kentucky,Conference USA,17.0,0,4.5,Western Kentucky,,54.0,
2017.0,Marshall,Mountain West,31.0,Colorado State,Conference USA,28.0,0,-3.0,Colorado State,,58.5,
2017.0,Florida Atlantic,Conference USA,50.0,Akron,Mid-American,3.0,1,-23.0,Florida Atlantic,,65.0,
2017.0,Temple,Conference USA,28.0,Florida International,American Athletic,3.0,1,7.0,Temple,,57.0,
2017.0,Ohio,Mid-American,41.0,UAB,Conference USA,6.0,1,-6.5,Ohio,,55.5,
2017.0,Wyoming,Mountain West,37.0,Central Michigan,Mid-American,14.0,1,-3.0,Wyoming,,47.0,
2017.0,South Florida,American Athletic,38.0,Texas Tech,Big 12,34.0,1,-2.0,South Florida,,66.0,
2017.0,Army,FBS Independents,42.0,San Diego State,Mountain West,35.0,0,6.5,San Diego State,,47.0,
2017.0,Appalachian State,Mid-American,34.0,Toledo,Sun Belt,0.0,0,-6.0,Toledo,,61.0,
2017.0,Fresno State,American Athletic,33.0,Houston,Mountain West,27.0,0,-3.0,Houston,,51.5,
2017.0,Utah,Big 12,30.0,West Virginia,Pac-12,14.0,1,7.0,Utah,,56.0,
2017.0,Duke,Mid-American,36.0,Northern Illinois,ACC,14.0,1,5.5,Duke,,49.0,
2017.0,Kansas State,Pac-12,35.0,UCLA,Big 12,17.0,1,6.0,Kansas State,,60.0,
2017.0,Florida State,ACC,42.0,Southern Mississippi,Conference USA,13.0,1,-13.0,Florida State,,48.5,
2017.0,Purdue,Big Ten,38.0,Arizona,Pac-12,35.0,0,2.5,Arizona,,64.5,
2017.0,Texas,SEC,33.0,Missouri,Big 12,16.0,0,-3.0,Missouri,,61.5,
2017.0,TCU,Big 12,39.0,Stanford,Pac-12,37.0,1,-3.0,TCU,,49.5,
2017.0,Michigan State,Big Ten,42.0,Washington State,Pac-12,17.0,1,-2.5,Michigan State,,47.0,
2017.0,Oklahoma State,Big 12,30.0,Virginia Tech,ACC,21.0,1,-5.5,Oklahoma State,,61.5,
2017.0,Navy,American Athletic,49.0,Virginia,ACC,7.0,1,-2.5,Navy,,51.0,
2017.0,Ohio State,Big Ten,24.0,USC,Pac-12,7.0,1,-10.0,Ohio State,,65.0,
2017.0,Northwestern,Big Ten,24.0,Kentucky,SEC,23.0,1,-7.5,Northwestern,,51.5,
2017.0,NC State,Pac-12,52.0,Arizona State,ACC,31.0,1,4.5,NC State,,61.5,
2017.0,Wake Forest,SEC,55.0,Texas A&M,ACC,52.0,1,3.5,Wake Forest,,63.0,
2017.0,New Mexico State,Mountain West,26.0,Utah State,Sun Belt,20.0,0,-5.5,Utah State,,63.5,
2017.0,Wisconsin,ACC,34.0,Miami,Big Ten,24.0,1,6.5,Wisconsin,,46.0,
2017.0,Penn State,Big Ten,35.0,Washington,Pac-12,28.0,1,-3.0,Penn State,,54.5,
2017.0,Iowa State,American Athletic,21.0,Memphis,Big 12,20.0,0,-3.5,Memphis,,67.5,
2017.0,Mississippi State,SEC,31.0,Louisville,ACC,27.0,0,6.5,Louisville,,60.0,
2017.0,South Carolina,SEC,26.0,Michigan,Big Ten,19.0,0,9.0,Michigan,,41.5,
,,,,,,,0.6,,,,,
2018.0,Georgia Southern,Mid-American,23.0,Eastern Michigan,Sun Belt,21.0,1,2.5,Georgia Southern,,45.5,
2018.0,Fresno State,Mountain West,31.0,Arizona State,Pac-12,20.0,1,-6.0,Fresno State,,54.5,
2018.0,Appalachian State,Sun Belt,45.0,Middle Tennessee,Conference USA,13.0,1,-6.5,Appalachian State,,49.5,
2018.0,Ohio,Mid-American,27.0,San Diego State,Mountain West,0.0,1,-2.0,Ohio,,48.0,
2018.0,Florida International,Mid-American,35.0,Toledo,Conference USA,32.0,0,-7.0,Toledo,,57.5,
2018.0,Wake Forest,ACC,37.0,Memphis,American Athletic,34.0,0,2.5,Memphis,,72.0,
2018.0,Army,FBS Independents,70.0,Houston,American Athletic,14.0,1,-6.5,Army,,57.0,
2018.0,Troy,Sun Belt,42.0,Buffalo,Mid-American,32.0,0,2.0,Buffalo,,51.0,
2018.0,Louisiana Tech,Conference USA,31.0,Hawai'i,Mountain West,14.0,1,-1.0,Louisiana Tech,,62.0,
2018.0,Minnesota,ACC,34.0,Georgia Tech,Big Ten,10.0,0,-5.5,Georgia Tech,,56.5,
2018.0,TCU,Big 12,10.0,California,Pac-12,7.0,1,-1.5,TCU,,38.5,
2018.0,Duke,ACC,56.0,Temple,American Athletic,27.0,0,3.5,Temple,,56.0,
2018.0,Wisconsin,Big Ten,35.0,Miami,ACC,3.0,0,2.5,Miami,,44.0,
2018.0,Baylor,SEC,45.0,Vanderbilt,Big 12,38.0,0,-4.5,Vanderbilt,,57.0,
2018.0,Washington State,Pac-12,28.0,Iowa State,Big 12,26.0,1,-2.0,Washington State,,56.5,
2018.0,Syracuse,ACC,34.0,West Virginia,Big 12,18.0,1,-3.0,Syracuse,,66.5,
2018.0,Auburn,SEC,63.0,Purdue,Big Ten,14.0,1,-3.5,Auburn,,57.0,
2018.0,Alabama,SEC,45.0,Oklahoma,Big 12,34.0,1,-13.5,Alabama,,77.0,
2018.0,Clemson,ACC,30.0,Notre Dame,FBS Independents,3.0,1,-12.0,Clemson,,56.0,
2018.0,Florida,Big Ten,41.0,Michigan,SEC,15.0,0,-4.5,Michigan,,51.5,
2018.0,Virginia,ACC,28.0,South Carolina,SEC,0.0,0,3.5,South Carolina,,54.0,
2018.0,Northwestern,Pac-12,31.0,Utah,Big Ten,20.0,0,-6.5,Utah,,44.0,
2018.0,Stanford,ACC,14.0,Pittsburgh,Pac-12,13.0,1,3.0,Stanford,,53.0,
2018.0,Oregon,Pac-12,7.0,Michigan State,Big Ten,6.0,0,1.5,Michigan State,,48.0,
2018.0,Texas,SEC,28.0,Georgia,Big 12,21.0,0,-13.5,Georgia,,60.0,
2018.0,LSU,American Athletic,40.0,UCF,SEC,32.0,1,7.5,LSU,,58.0,
2018.0,Iowa,Big Ten,27.0,Mississippi State,SEC,22.0,0,7.5,Mississippi State,,39.5,
2018.0,UAB,Mid-American,37.0,Northern Illinois,Conference USA,13.0,1,2.0,UAB,,41.5,
2018.0,Cincinnati,ACC,35.0,Virginia Tech,American Athletic,31.0,1,5.5,Cincinnati,,49.5,
2018.0,Kentucky,Big Ten,27.0,Penn State,SEC,24.0,0,-4.5,Penn State,,48.0,
2018.0,Tulane,Sun Belt,41.0,Louisiana,American Athletic,24.0,1,3.0,Tulane,,60.0,
